
2024/10/03 (10:44:44) | ===> btop++ v.1.4.0
2024/10/03 (10:44:44) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/03 (10:45:08) | ===> btop++ v.1.4.0
2024/10/03 (10:45:08) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/03 (10:45:24) | ===> btop++ v.1.4.0
2024/10/03 (10:45:24) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/03 (10:45:54) | ===> btop++ v.1.4.0
2024/10/03 (10:45:54) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/10/03 (10:50:01) | ===> btop++ v.1.4.0
2024/10/03 (10:50:01) | WARNING: Failed to set locale UTF-8 continuing anyway.
